processing_unit,agent_name,agent_x,agent_y,hab_name,hab_type,hab_water_depth,hab_salinity,hab_food,hab_distance,prob_overall,prob_water,prob_salinity,prob_food,prob_distance,has_moved
11,3-30cm,0.7510364521246038,0.5687474257201874,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0028249374550452077,11.031730674544363,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
12,7-30cm,0.2721416238068842,0.22787326404386055,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
12,2-5cm,0.7867449595638486,0.7904419184174963,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
12,3-30cm,0.40086739653001724,0.3519254003515031,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
12,6-60cm,0.7756674492689996,0.6491807371867753,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.00320092279532772,12.5,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
12,1-30cm,0.7578395211604229,0.6621077933612505,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0028249374550452077,11.031730674544363,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
12,2-60cm,0.30163410088689535,0.36691377063734976,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,0.00026260718984115087,12.5,0.0084,0.0084,0.003300792461701698,True
12,5-30cm,0.7555365588902261,0.5871422122429808,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0028249374550452077,11.031730674544363,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
12,3-60cm,0.6583026424872769,0.18543384895057613,lagoon-green,3,107.642,25,11.53,0.2061552812808832,0.000999976501407198,12.5,0.042899999999999994,0.042899999999999994,0.0013702990814785355,True
12,6-30cm,0.3183472942498997,0.30785092341103426,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
12,4-30cm,0.27538284315563133,0.29304889853751803,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
12,4-5cm,0.7016389496714088,0.570835955970141,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
12,4-60cm,0.26253054146368515,0.20698300685307602,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,0.00026260718984115087,12.5,0.0084,0.0084,0.003300792461701698,True
12,2-30cm,0.359210503608428,0.36155228768401937,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
12,1-60cm,0.7053054400606428,0.5515304505904894,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.00320092279532772,12.5,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
12,3-10cm,0.7151319197305984,0.5133994894525074,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
12,4-10cm,0.7782857623348285,0.6583560693858977,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
12,2-10cm,0.7056630133017942,0.6847487334752819,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
12,5-5cm,0.7740014183787549,0.5488602575509345,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
12,1-10cm,0.7272850814121494,0.8320069745885558,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
12,5-60cm,0.41604665705834376,0.3436270177188817,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,0.00026260718984115087,12.5,0.0084,0.0084,0.003300792461701698,True
12,3-5cm,0.7487126210915841,0.7554174192390541,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
12,1-5cm,0.7232635509850409,0.6252725267083556,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
13,2-30cm,0.7227122003194432,0.8532995426736383,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0028249374550452077,11.031730674544363,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
13,2-60cm,0.7384848257822298,0.651751374096093,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.00320092279532772,12.5,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
13,3-60cm,0.7207283075971581,0.7599258243614649,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.00320092279532772,12.5,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
13,6-60cm,0.3330042565931509,0.28996973041308616,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,0.00026260718984115087,12.5,0.0084,0.0084,0.003300792461701698,True
13,2-10cm,0.7056630133017942,0.6847487334752819,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
13,3-5cm,0.7752221612647388,0.7429295975164784,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
13,5-30cm,0.36236287961591696,0.3443433284344273,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
13,1-30cm,0.772480685769043,0.8208730201241575,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0028249374550452077,11.031730674544363,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
13,4-60cm,0.23351498875430465,0.29979550332308835,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,0.00026260718984115087,12.5,0.0084,0.0084,0.003300792461701698,True
13,1-60cm,0.6650017668349647,0.06423769466948948,lagoon-green,3,107.642,25,11.53,0.2061552812808832,0.000999976501407198,12.5,0.042899999999999994,0.042899999999999994,0.0013702990814785355,True
13,1-10cm,0.7272850814121494,0.8320069745885558,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
13,5-5cm,0.7593532787577079,0.8322117446224624,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
13,4-30cm,0.38935453464305936,0.3415485946360709,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
13,3-30cm,0.39918059525859095,0.37396272880337156,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
13,6-30cm,0.7018949363627852,0.7491460606608142,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0028249374550452077,11.031730674544363,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
13,7-30cm,0.296419540749823,0.242725795493972,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
13,4-5cm,0.7770443176587343,0.8150146906398912,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
13,2-5cm,0.7188343590062514,0.6011436113375619,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
13,1-5cm,0.7613440780340515,0.7792826174042218,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
13,5-60cm,0.6038631181406963,0.09285436490584442,lagoon-green,3,107.642,25,11.53,0.2061552812808832,0.000999976501407198,12.5,0.042899999999999994,0.042899999999999994,0.0013702990814785355,True
13,3-10cm,0.7151319197305984,0.5133994894525074,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
13,4-10cm,0.7782857623348285,0.6583560693858977,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
14,1-5cm,0.7706211869811405,0.6243540837477635,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
14,7-30cm,0.2887630131380554,0.3446476740655855,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
14,3-10cm,0.7151319197305984,0.5133994894525074,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
14,5-5cm,0.7376105635725356,0.5929428293676617,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
14,2-5cm,0.742872001131154,0.53544730766175,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
14,5-30cm,0.7488365953222007,0.7956849324328761,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0028249374550452077,11.031730674544363,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
14,1-60cm,0.732949582335863,0.802802411867681,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.00320092279532772,12.5,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
14,2-10cm,0.7056630133017942,0.6847487334752819,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,-0.0006442720873496643,-2.5159623042536623,0.40040000000000003,0.40040000000000003,0.0012797941708557895,False
14,3-30cm,0.36427347462109727,0.35504084356962773,lagoon-blue,2,45.634,10,6.41,0.5042320894191483,6.519146293566824e-05,3.103088255842408,0.0084,0.0084,0.003300792461701698,True
14,6-60cm,0.6583288611243144,0.12554438379065125,lagoon-green,3,107.642,25,11.53,0.2061552812808832,0.000999976501407198,12.5,0.042899999999999994,0.042899999999999994,0.0013702990814785355,True
14,4-60cm,0.7678424550937127,0.7082423029610643,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.00320092279532772,12.5,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
14,4-5cm,0.7497223364327135,0.6273539365430321,lagoon-orange-sm,1,22.034,80,0.3,0.19300259065618774,0.0010172374737750997,3.972438335828997,0.40040000000000003,0.40040000000000003,0.0012797941708557895,True
